target,model,seed,horizon,ws_rmse,ws_mae,wd_mae,windows
sd1091,Mamba,42.0,4,0.814882755279541,0.5804585814476013,8.023065567016602,2384
sd1091,Mamba,42.0,5,0.8571160435676575,0.6158916354179382,8.530876159667969,2384
sd1091,Mamba,42.0,6,0.8900895714759827,0.6394021511077881,8.950690269470215,2384
sd1091,Autoformer,42.0,1,0.5170134902000427,0.3411688506603241,5.291860103607178,2384
sd1091,Autoformer,42.0,2,0.6409143209457397,0.4404696226119995,6.621463298797607,2384
sd1091,Autoformer,42.0,3,0.7159525752067566,0.4964365065097809,7.614439487457275,2384
sd1091,Autoformer,42.0,4,0.770832359790802,0.5398209095001221,8.388941764831543,2384
sd1091,Autoformer,42.0,5,0.8004833459854126,0.5632114410400391,9.11660385131836,2384
sd1091,Autoformer,42.0,6,0.8245872259140015,0.5821792483329773,9.67553997039795,2384
sd1091,Wind-Mamba,43.0,1,0.5031477808952332,0.3308330476284027,4.626779079437256,2384
sd1091,Wind-Mamba,43.0,2,0.6462951302528381,0.4363027513027191,6.1027607917785645,2384
sd1091,Wind-Mamba,43.0,3,0.7236921191215515,0.4933309853076935,6.937021732330322,2384
sd1091,Wind-Mamba,43.0,4,0.7771735191345215,0.5357634425163269,7.585524559020996,2384
sd1091,Wind-Mamba,43.0,5,0.8132830858230591,0.5663959383964539,8.223380088806152,2384
sd1091,Wind-Mamba,43.0,6,0.8491572141647339,0.590463399887085,8.611557960510254,2384
sd1091,Mamba,43.0,1,0.5081944465637207,0.34050050377845764,4.872464179992676,2384
sd1091,Mamba,43.0,2,0.6410983204841614,0.443388968706131,6.165600776672363,2384
sd1091,Mamba,43.0,3,0.7141454815864563,0.499700665473938,7.017694473266602,2384
sd1091,Mamba,43.0,4,0.7648019790649414,0.5426503419876099,7.853020191192627,2384
sd1091,Mamba,43.0,5,0.8015751838684082,0.5732026696205139,8.587729454040527,2384
sd1091,Mamba,43.0,6,0.8252856731414795,0.5942694544792175,9.087038040161133,2384
sd1091,Autoformer,43.0,1,0.5393930673599243,0.36220675706863403,5.152188301086426,2384
sd1091,Autoformer,43.0,2,0.6590441465377808,0.4569779336452484,6.368490695953369,2384
sd1091,Autoformer,43.0,3,0.7324682474136353,0.5140923857688904,7.188749313354492,2384
sd1091,Autoformer,43.0,4,0.7887989282608032,0.5575259327888489,7.759891033172607,2384
sd1091,Autoformer,43.0,5,0.8211060762405396,0.581132709980011,8.283964157104492,2384
sd1091,Autoformer,43.0,6,0.8458901047706604,0.6018756628036499,8.757547378540039,2384
sd1091,Wind-Mamba,44.0,1,0.5128226280212402,0.3346800208091736,4.466524124145508,2384
sd1091,Wind-Mamba,44.0,2,0.6551405191421509,0.4405519664287567,6.145119667053223,2384
sd1091,Wind-Mamba,44.0,3,0.7284771800041199,0.4985695779323578,7.042020797729492,2384
sd1091,Wind-Mamba,44.0,4,0.7854811549186707,0.5429555177688599,7.754653453826904,2384
sd1091,Wind-Mamba,44.0,5,0.8146337866783142,0.5687456727027893,8.386712074279785,2384
sd1091,Wind-Mamba,44.0,6,0.8454395532608032,0.5899624824523926,8.826565742492676,2384
sd1091,Mamba,44.0,1,0.5391950011253357,0.36843597888946533,5.250344276428223,2384
sd1091,Mamba,44.0,2,0.6668839454650879,0.4634788930416107,6.814391136169434,2384
sd1091,Mamba,44.0,3,0.7364107370376587,0.516643226146698,7.561359405517578,2384
sd1091,Mamba,44.0,4,0.7918410897254944,0.5663519501686096,8.21754264831543,2384
sd1091,Mamba,44.0,5,0.8358411192893982,0.6017939448356628,8.852252006530762,2384
sd1091,Mamba,44.0,6,0.8643248677253723,0.6215923428535461,9.18395709991455,2384
sd1091,Autoformer,44.0,1,0.5072166919708252,0.3371104300022125,5.05588960647583,2384
sd1091,Autoformer,44.0,2,0.6295396685600281,0.42994681000709534,6.346297264099121,2384
sd1091,Autoformer,44.0,3,0.7010025382041931,0.48389413952827454,7.221445560455322,2384
sd1091,Autoformer,44.0,4,0.7553414106369019,0.5275058746337891,7.929218292236328,2384
sd1091,Autoformer,44.0,5,0.7863112688064575,0.5530760288238525,8.49432373046875,2384
sd1091,Autoformer,44.0,6,0.8112066984176636,0.5749921202659607,8.871533393859863,2384
sd1091,Wind-Mamba,45.0,1,0.5107848644256592,0.3347875475883484,4.499077320098877,2384
sd1091,Wind-Mamba,45.0,2,0.6431772112846375,0.4342076778411865,6.117026329040527,2384
sd1091,Wind-Mamba,45.0,3,0.7153915762901306,0.4915775656700134,6.902013778686523,2384
sd1091,Wind-Mamba,45.0,4,0.76472008228302,0.5300551652908325,7.557654857635498,2384
sd1091,Wind-Mamba,45.0,5,0.7960611581802368,0.555801510810852,8.180816650390625,2384
sd1091,Wind-Mamba,45.0,6,0.8318415284156799,0.5816068649291992,8.608213424682617,2384
sd1091,Mamba,45.0,1,0.526432454586029,0.35812151432037354,5.285234451293945,2384
sd1091,Mamba,45.0,2,0.6581387519836426,0.46431803703308105,6.6778483390808105,2384
sd1091,Mamba,45.0,3,0.7298401594161987,0.5155748724937439,7.486647605895996,2384
sd1091,Mamba,45.0,4,0.7866289615631104,0.5671079754829407,8.207975387573242,2384
sd1091,Mamba,45.0,5,0.8271235823631287,0.6016503572463989,8.864603996276855,2384
sd1091,Mamba,45.0,6,0.8644099831581116,0.6289278268814087,9.437101364135742,2384
sd1091,Autoformer,45.0,1,0.5316920280456543,0.35727736353874207,5.20097541809082,2384
sd1091,Autoformer,45.0,2,0.6532098054885864,0.44716599583625793,6.492835998535156,2384
sd1091,Autoformer,45.0,3,0.7283086180686951,0.5043327212333679,7.302052974700928,2384
sd1091,Autoformer,45.0,4,0.7835350036621094,0.548676073551178,8.013379096984863,2384
sd1091,Autoformer,45.0,5,0.815444827079773,0.572799563407898,8.60372543334961,2384
sd1091,Autoformer,45.0,6,0.8427287936210632,0.5953758358955383,9.109413146972656,2384
sd1091,Wind-Mamba,46.0,1,0.5211753845214844,0.33766478300094604,4.521650791168213,2384
