variant,target,regime,count_mean,ws_rmse_mean,ws_mae_mean,wd_mae_mean,r2_mean,count_sample_std,ws_rmse_sample_std,ws_mae_sample_std,wd_mae_sample_std,r2_sample_std
fixed4_submitted,target_mean,strong_gust,4608.0,0.9988356947898864,0.7001946032047272,6.420706796646118,0.43402099162340163,0.0,0.022302000033995486,0.019930694735919387,0.13084748899332319,0.04258658529073813
fixed4_submitted,target_mean,upper_tail,2316.0,1.58231121301651,1.213994663953781,6.97163200378418,-10.070555490255355,0.0,0.047300923098202746,0.04879442517327502,0.11855403901649095,0.6857776255895829
fixed6,sd1042,rapid_component_change,648.0,3.3887784004211428,2.8327003479003907,53.589673614501955,0.3297741889953613,0.0,0.044612753571174474,0.03623308084757946,0.3783848277277237,0.01770101162859224
fixed6,sd1042,rapid_wd_change,2615.0,1.853827953338623,1.3237552881240844,42.24080200195313,0.6053368866443634,0.0,0.013503886904290045,0.012046311615075089,0.5002026668608022,0.005740035098577155
fixed6,sd1042,strong_gust,7974.0,1.0740626335144043,0.7236878514289856,6.093840217590332,0.8255265086889267,0.0,0.022595337165368632,0.02263363002830652,0.05562413218415276,0.0073115107654600775
fixed6,sd1042,upper_tail,4488.0,1.1559850692749023,0.747968602180481,5.261279487609864,0.4733530044555664,0.0,0.036522695263006624,0.0393019878671998,0.07325403928124904,0.0329098733638249
fixed6,sd1091,rapid_component_change,192.0,2.3927430629730226,1.9870021104812623,51.41175079345703,0.17636213302612305,0.0,0.07257892572960771,0.06566396964738505,1.4099547649098954,0.050670219295177
fixed6,sd1091,rapid_wd_change,776.0,1.486984920501709,1.0812958002090454,36.325323486328124,0.7146848440170288,0.0,0.02231767341821512,0.016280892079832986,0.8211431738348768,0.008527803057749445
fixed6,sd1091,strong_gust,1242.0,0.9454583764076233,0.6902727842330932,6.787711524963379,0.0035213232040405273,0.0,0.0366838580857205,0.029383635397091504,0.1458590217884879,0.07714988606482631
fixed6,sd1091,upper_tail,144.0,2.016012930870056,1.6759320974349976,8.682374572753906,-20.339440536499023,0.0,0.06919081750589313,0.08875385218003669,0.23351345556264158,1.4731658478820302
fixed6,target_mean,rapid_component_change,420.0,2.8907607316970827,2.4098512291908265,52.50071220397949,0.2530681610107422,0.0,0.04604533851465712,0.04124331355573935,0.8783640467219992,0.028316249593520623
fixed6,target_mean,rapid_wd_change,1695.5,1.670406436920166,1.202525544166565,39.28306274414062,0.6600108653306961,0.0,0.016384824080629405,0.009153098057661044,0.5111638337344566,0.0065135716832855125
fixed6,target_mean,strong_gust,4608.0,1.0097605049610139,0.7069803178310394,6.4407758712768555,0.41452391594648363,0.0,0.020406866047190966,0.016189175550501,0.07908949408478166,0.03835302339354451
fixed6,target_mean,upper_tail,2316.0,1.5859990000724793,1.2119503498077393,6.971827030181885,-9.93304376602173,0.0,0.04420651933067761,0.04791772465967356,0.12154661275785789,0.7425153371385993
learnable_global_component,sd1042,rapid_component_change,648.0,3.36580548286438,2.800074005126953,53.60304565429688,0.33887529373168945,0.0,0.03168123909919023,0.018020184357031642,0.39562333149239404,0.012441219463120141
learnable_global_component,sd1042,rapid_wd_change,2615.0,1.84510657787323,1.3139348030090332,42.232967376708984,0.6090306580066681,0.0,0.017297595911946774,0.008491689421606715,0.3392191095476869,0.0073176588585907
learnable_global_component,sd1042,strong_gust,7974.0,1.0517258405685426,0.70933438539505,6.136289310455322,0.832761999964714,0.0,0.00652862472222845,0.007260333877241326,0.04927272847400628,0.0020735230563519984
learnable_global_component,sd1042,upper_tail,4488.0,1.1022494554519653,0.7154870152473449,5.308103752136231,0.5212674558162689,0.0,0.030429198470576815,0.027927191058408758,0.07273893751613507,0.026426983995694174
learnable_global_component,sd1091,rapid_component_change,192.0,2.4201676845550537,2.0335089206695556,51.72786178588867,0.15789611339569093,0.0,0.02907327215145315,0.019668378227912932,0.9324132395034695,0.020126161540990742
learnable_global_component,sd1091,rapid_wd_change,776.0,1.4880818605422974,1.0793405294418335,36.47547988891601,0.7143031120300293,0.0,0.010830272732011542,0.004689601705694434,0.5878453291668873,0.004152152328152705
learnable_global_component,sd1091,strong_gust,1242.0,0.9200909614562989,0.6738354325294494,6.792325019836426,0.05698951482772827,0.0,0.021774934019601705,0.02175835144058768,0.0978169991020973,0.044324190322971004
learnable_global_component,sd1091,upper_tail,144.0,2.0073967456817625,1.6749281883239746,8.738128662109375,-20.15178108215332,0.0,0.05832400262374463,0.0720703804074604,0.18546328531861042,1.2087928203191107
learnable_global_component,target_mean,rapid_component_change,420.0,2.8929865837097166,2.4167914628982543,52.66545372009277,0.2483857035636902,0.0,0.025855334796185098,0.016398152773264178,0.5690495220091613,0.01400590347950616
learnable_global_component,target_mean,rapid_wd_change,1695.5,1.6665942192077636,1.1966376662254334,39.3542236328125,0.6616668850183487,0.0,0.013322649320350299,0.005784546535388053,0.3915977055964543,0.0054416050668473406
learnable_global_component,target_mean,strong_gust,4608.0,0.9859084010124206,0.6915849089622498,6.464307165145874,0.44487575739622115,0.0,0.009147499350483129,0.00852484364142163,0.03546822912314399,0.021514634449519832
learnable_global_component,target_mean,upper_tail,2316.0,1.554823100566864,1.1952076017856599,7.023116207122802,-9.815256813168526,0.0,0.03347118119062762,0.04010498869985811,0.10515557278030786,0.6052105937603585
training_derived_component,sd1042,rapid_component_change,648.0,3.3611558437347413,2.7970861434936523,53.713191223144534,0.34068523645401,0.0,0.03647687978839013,0.021686904827798528,0.3963055404376101,0.014309743185442703
training_derived_component,sd1042,rapid_wd_change,2615.0,1.8392834901809691,1.310552716255188,42.26714401245117,0.6114852249622345,0.0,0.019967022077055054,0.011379098412938477,0.26560132068988174,0.008423922752568196
training_derived_component,sd1042,strong_gust,7974.0,1.0606577157974244,0.7150512099266052,6.131624698638916,0.829894843697548,0.0,0.012784394769674736,0.013753267930213045,0.05786091412803906,0.004107101968545405
training_derived_component,sd1042,upper_tail,4488.0,1.1205765008926392,0.7273222088813782,5.312099552154541,0.5048573791980744,0.0,0.04575347113510725,0.03708498583426857,0.09533646635966202,0.03987278570565361
training_derived_component,sd1091,rapid_component_change,192.0,2.409851837158203,2.0161101102828978,51.796453857421874,0.16483404636383056,0.0,0.0529074145808741,0.05529776809712288,1.02238789605461,0.03642759447182383
training_derived_component,sd1091,rapid_wd_change,776.0,1.5016574621200562,1.090636920928955,36.70996932983398,0.7090293765068054,0.0,0.021904169761694434,0.01615639915204967,0.4676727450334939,0.00847061229232846
training_derived_component,sd1091,strong_gust,1242.0,0.9279252171516419,0.6797818183898926,6.727442741394043,0.040801167488098145,0.0,0.02347258048259556,0.024424957288954913,0.14114627212414566,0.04891713441120952
training_derived_component,sd1091,upper_tail,144.0,2.015628933906555,1.6872955560684204,8.7787353515625,-20.33914451599121,0.0,0.08156324268926855,0.08515115729557181,0.12413656549957751,1.728541342024355
training_derived_component,target_mean,rapid_component_change,420.0,2.8855038404464723,2.4065981268882752,52.7548225402832,0.25275964140892027,0.0,0.04206570399470753,0.036975177421373184,0.5451622099375618,0.024098744903702805
training_derived_component,target_mean,rapid_wd_change,1695.5,1.6704704761505127,1.2005948185920716,39.488556671142575,0.6602573007345199,0.0,0.01933979117063287,0.012797994173669489,0.21575792947618663,0.007801933739010205
training_derived_component,target_mean,strong_gust,4608.0,0.994291466474533,0.6974165141582489,6.4295337200164795,0.43534800559282305,0.0,0.01401735655219252,0.015260566015230216,0.06410765103528908,0.024769516205108536
training_derived_component,target_mean,upper_tail,2316.0,1.5681027173995972,1.2073088824748992,7.045417451858521,-9.917143568396568,0.0,0.056876120527011804,0.056803104075767025,0.08218393434152282,0.8756945882701412
unbounded,sd1042,rapid_component_change,648.0,3.372043085098267,2.806823968887329,53.491275024414065,0.3364390254020691,0.0,0.0255867831018862,0.02308829702084224,0.41272916681305766,0.010058653008908154
unbounded,sd1042,rapid_wd_change,2615.0,1.8405431509017944,1.3068973302841187,42.25047302246094,0.6109691798686981,0.0,0.014900199587073754,0.010858266024423134,0.17566805618539336,0.00629041331291351
unbounded,sd1042,strong_gust,7974.0,1.0502865791320801,0.703838837146759,6.111747455596924,0.8331867903470993,0.0,0.017667025452455624,0.013059508535860267,0.13448588622346103,0.0056200323483147465
unbounded,sd1042,upper_tail,4488.0,1.1009884834289552,0.709652590751648,5.328903675079346,0.5224393248558045,0.0,0.026055270579241112,0.021475087929715385,0.11325601039478286,0.022576966591588053
unbounded,sd1091,rapid_component_change,192.0,2.3880990505218507,1.9837320566177368,51.84959030151367,0.179762601852417,0.0,0.05875483438097519,0.05636181926761394,1.1690495223779622,0.04015013750132898
unbounded,sd1091,rapid_wd_change,776.0,1.4982399225234986,1.086252999305725,36.244860076904295,0.7103045880794525,0.0,0.03065460064091595,0.013392564967135796,0.41271422924996964,0.01173049986446623
unbounded,sd1091,strong_gust,1242.0,0.920466148853302,0.6708488821983337,6.748426151275635,0.05627436637878418,0.0,0.02034301074650917,0.014432049306700799,0.23323882778173813,0.041403002945072556
unbounded,sd1091,upper_tail,144.0,2.0026615381240847,1.6692113876342773,8.7294189453125,-20.04219779968262,0.0,0.03199326366421385,0.02501580927558819,0.2044901762632957,0.6661286538076099
unbounded,target_mean,rapid_component_change,420.0,2.8800710678100585,2.395278012752533,52.67043266296387,0.258100813627243,0.0,0.03217674977508626,0.028067535464700054,0.7114327993956289,0.020717350375893145
unbounded,target_mean,rapid_wd_change,1695.5,1.6693915367126464,1.1965751647949219,39.24766654968262,0.6606368839740753,0.0,0.02228288412049016,0.011563880165230397,0.22279039993017125,0.008810300359938086
unbounded,target_mean,strong_gust,4608.0,0.985376363992691,0.6873438596725464,6.4300868034362795,0.4447305783629417,0.0,0.005874375057848979,0.002437257706332432,0.1457584094623704,0.01846732679617517
unbounded,target_mean,upper_tail,2316.0,1.5518250107765197,1.1894319891929626,7.0291613101959225,-9.759879237413406,0.0,0.012451187536460373,0.006760726610115649,0.12465607430000528,0.32581647453843865
