target,model,horizon,ws_rmse_mean,ws_rmse_std,ws_mae_mean,ws_mae_std,wd_mae_mean,wd_mae_std
sd1042,Persistence,6,1.2781895399093628,0.0,0.8828707933425903,0.0,12.8033447265625,0.0
sd1042,Wind-Mamba,1,0.7050596237182617,0.03027678849829025,0.5066261708736419,0.031553286374488274,6.867719936370849,0.11452450446234147
sd1042,Wind-Mamba,2,0.8902584195137024,0.005359265703139381,0.6110832810401916,0.005809195859568239,8.670156478881836,0.07618580511497615
sd1042,Wind-Mamba,3,1.0280911207199097,0.007679087314886039,0.706359589099884,0.010009895469708428,9.927140045166016,0.09063335975174511
sd1042,Wind-Mamba,4,1.127571988105774,0.00875188942529077,0.7902676463127136,0.012293293611915902,10.920069313049316,0.0938464940512745
sd1042,Wind-Mamba,5,1.2138872861862182,0.01077786607832933,0.8488605737686157,0.012768755715626417,11.826325225830079,0.14536089614628978
sd1042,Wind-Mamba,6,1.2862281799316406,0.0160997908162753,0.9059030175209045,0.016970423044857078,12.861754226684571,0.12928474091512615
sd1091,Autoformer,1,0.5272631049156189,0.014683099940533004,0.3523102104663849,0.0123441191606368,5.189799499511719,0.09122064010262286
sd1091,Autoformer,2,0.6492706060409545,0.013935588716740955,0.44593836069107057,0.011107753830150474,6.442570686340332,0.11482982609275685
sd1091,Autoformer,3,0.7225510597229003,0.014097305920070373,0.5014681696891785,0.011751502981284974,7.296400356292724,0.1859388634315992
sd1091,Autoformer,4,0.7774404287338257,0.014360060326483754,0.5446479082107544,0.01145481599158402,7.969664669036865,0.2591412924907984
sd1091,Autoformer,5,0.808631706237793,0.014930236494520152,0.56887788772583,0.010901499892887355,8.56284065246582,0.33612748050143965
sd1091,Autoformer,6,0.8334413647651673,0.015012290225975227,0.589351499080658,0.010720066587105006,9.042454147338868,0.37924564192933774
sd1091,Mamba,1,0.5274386763572693,0.01857092945359179,0.35404720306396487,0.012885870117449896,5.052355670928955,0.22755140478508754
sd1091,Mamba,2,0.6589255928993225,0.020272187134670785,0.4566398561000824,0.014051175324975925,6.444003295898438,0.289593971001204
sd1091,Mamba,3,0.7324004888534545,0.02203618869003424,0.5121692061424256,0.01771127013950141,7.2605565071105955,0.2531531658940332
sd1091,Mamba,4,0.7855534315109253,0.019910052755398238,0.5585135221481323,0.018543503812194204,7.998584175109864,0.22802892999258587
sd1091,Mamba,5,0.8257590174674988,0.022462918695132075,0.5915076613426209,0.02145346625891129,8.625908279418946,0.23916835450339596
sd1091,Mamba,6,0.8568987846374512,0.02492652084508137,0.6150390028953552,0.021438871047384286,9.083853721618652,0.25353333390238836
sd1091,Persistence,1,0.5346567630767822,0.0,0.339837908744812,0.0,4.477569103240967,0.0
sd1091,Persistence,2,0.6859995722770691,0.0,0.4495766758918762,0.0,6.160958290100098,0.0
sd1091,Persistence,3,0.7735642790794373,0.0,0.516332745552063,0.0,7.047219276428223,0.0
sd1091,Persistence,4,0.8335826396942139,0.0,0.5613779425621033,0.0,7.786431789398193,0.0
sd1091,Persistence,5,0.8788182139396667,0.0,0.5974134206771851,0.0,8.408671379089355,0.0
sd1091,Persistence,6,0.9126037359237671,0.0,0.6275954842567444,0.0,8.876681327819824,0.0
sd1091,Wind-Mamba,1,0.5114201903343201,0.0065389042738885185,0.33424646258354185,0.0024888038035784407,4.5363387107849125,0.06252768673285516
sd1091,Wind-Mamba,2,0.6487510800361633,0.006022446576180635,0.4372208058834076,0.003550766061515463,6.123408508300781,0.03562062217478758
sd1091,Wind-Mamba,3,0.7216386795043945,0.005340909605881104,0.49319449067115784,0.00351585445164139,6.968730640411377,0.09781581167173162
sd1091,Wind-Mamba,4,0.7731404185295105,0.008664757616448375,0.5343332290649414,0.005814370522554632,7.678842830657959,0.1467959115025039
sd1091,Wind-Mamba,5,0.803316855430603,0.00986827632758285,0.5604236721992493,0.006921787587495693,8.300257301330566,0.16372754456807295
sd1091,Wind-Mamba,6,0.8356908082962036,0.01134412632719324,0.5830623745918274,0.00724825520290781,8.72492847442627,0.19849092108055602
target_mean,Autoformer,1,0.742250257730484,0.04420541360846801,0.5197406500577927,0.032979830933767995,7.151546859741211,0.39560084806685336
target_mean,Autoformer,2,0.8771960616111756,0.04256194895484048,0.6223885297775269,0.03398837803177903,8.368098258972168,0.3327167404203524
target_mean,Autoformer,3,0.965466034412384,0.040355378333627075,0.692366224527359,0.034897083840364065,9.344806909561157,0.3940429554557523
target_mean,Autoformer,4,1.034248149394989,0.03891158067333765,0.7494379460811615,0.03411546044692634,10.129236555099487,0.4367179477012421
target_mean,Autoformer,5,1.0859769821166991,0.03520524796093448,0.7928583443164825,0.031468089792237565,10.858232688903808,0.5318698210222409
target_mean,Autoformer,6,1.131087166070938,0.03346659994031055,0.8290862023830414,0.030456377347911782,11.600587749481202,0.6215491883064952
target_mean,Mamba,1,0.7625616550445556,0.024955661459480544,0.5342334151268006,0.013540740135820566,7.848413896560669,0.3755302477283062
target_mean,Mamba,2,0.8864014089107514,0.007183558005667513,0.6286347001791001,0.00881654198676735,9.189144325256347,0.37904910654698565
target_mean,Mamba,3,0.9735921144485473,0.010798004307785882,0.6974964916706086,0.012527098125605407,10.069782876968384,0.4043802911422531
target_mean,Mamba,4,1.0373029470443726,0.012647773157691186,0.7524388909339905,0.015485600953289925,10.81315803527832,0.45344196283232413
target_mean,Mamba,5,1.09262712597847,0.018536693805470777,0.7987680494785309,0.018591915338592214,11.547871112823486,0.4399615132892309
target_mean,Mamba,6,1.1368234038352967,0.019067991734767708,0.8325522243976593,0.01880975251359551,12.177266788482665,0.40957621745818673
target_mean,Persistence,1,0.6055022478103638,0.0,0.40601952373981476,0.0,5.620182514190674,0.0
target_mean,Persistence,2,0.7846851050853729,0.0,0.5242455005645752,0.0,7.433865547180176,0.0
target_mean,Persistence,3,0.8949426114559174,0.0,0.6005377769470215,0.0,8.480090141296387,0.0
target_mean,Persistence,4,0.97527015209198,0.0,0.6646404266357422,0.0,9.348871946334839,0.0
target_mean,Persistence,5,1.0439461767673492,0.0,0.7129788994789124,0.0,10.090372562408447,0.0
target_mean,Persistence,6,1.095396637916565,0.0,0.7552331387996674,0.0,10.840013027191162,0.0
target_mean,Wind-Mamba,1,0.6082399070262909,0.014819394191762977,0.42043631672859194,0.015579207340939339,5.7020293235778805,0.05720519404187586
target_mean,Wind-Mamba,2,0.7695047497749329,0.0034847513310676936,0.5241520434617997,0.0033399546131629475,7.396782493591308,0.04220004277664605
target_mean,Wind-Mamba,3,0.8748649001121521,0.003145148594122258,0.5997770398855209,0.004659506865243768,8.447935342788696,0.05526888001299339
target_mean,Wind-Mamba,4,0.9503562033176423,0.005163992107831968,0.6623004376888275,0.006929916163420199,9.299456071853637,0.09799717664767871
target_mean,Wind-Mamba,5,1.0086020708084107,0.005067378550041035,0.7046421229839325,0.006370091122427158,10.063291263580322,0.10154635556568427
target_mean,Wind-Mamba,6,1.0609594941139222,0.006478306086528408,0.744482696056366,0.007417250123456463,10.79334135055542,0.1085493527771693
