variant,seed,target,regime,count,ws_rmse,ws_mae,wd_mae,r2
magnitude_only_strict_zero_phase,45,sd1042,hf_q4,7998.0,0.9190768003463745,0.6506439447402954,8.931476593017578,0.9208670780062675
no_fft,45,sd1042,hf_q1,5910.0,1.2051023244857788,0.8269357681274414,12.746299743652344,0.8700974434614182
no_fft,45,sd1042,hf_q2,3348.0,1.2382619380950928,0.8030692934989929,11.914365768432617,0.819925457239151
no_fft,45,sd1042,hf_q3,4602.0,0.9664828181266785,0.6662344932556152,8.143397331237793,0.8960640802979469
no_fft,45,sd1042,hf_q4,7998.0,0.9076334834098816,0.6530839204788208,9.27458667755127,0.92282535135746
full_real_imag,45,sd1091,hf_q1,3126.0,0.7718693017959595,0.5232189893722534,9.959528923034668,0.8416092693805695
full_real_imag,45,sd1091,hf_q2,3216.0,0.6912796497344971,0.4716744124889374,7.077181339263916,0.8547656983137131
full_real_imag,45,sd1091,hf_q3,3756.0,0.7674269080162048,0.5011584758758545,6.03550910949707,0.8516726046800613
full_real_imag,45,sd1091,hf_q4,4206.0,0.6489943265914917,0.46257737278938293,5.526059150695801,0.8493982702493668
magnitude_only_strict_zero_phase,45,sd1091,hf_q1,3126.0,0.7961186766624451,0.5450161695480347,11.079522132873535,0.8315007835626602
magnitude_only_strict_zero_phase,45,sd1091,hf_q2,3216.0,0.6975554823875427,0.47767797112464905,7.424952983856201,0.8521166890859604
magnitude_only_strict_zero_phase,45,sd1091,hf_q3,3756.0,0.7833296656608582,0.5062305331230164,6.219009876251221,0.8454615622758865
magnitude_only_strict_zero_phase,45,sd1091,hf_q4,4206.0,0.6717918515205383,0.4759162664413452,5.778611660003662,0.8386319130659103
no_fft,45,sd1091,hf_q1,3126.0,0.8463680744171143,0.5516624450683594,10.447310447692871,0.8095588535070419
no_fft,45,sd1091,hf_q2,3216.0,0.697892427444458,0.4701160490512848,7.353102684020996,0.8519737869501114
no_fft,45,sd1091,hf_q3,3756.0,0.8309588432312012,0.5339910387992859,6.177892684936523,0.8260972797870636
no_fft,45,sd1091,hf_q4,4206.0,0.7143656015396118,0.4965246915817261,5.7992072105407715,0.8175309151411057
full_real_imag,46,sd1042,hf_q1,5910.0,1.2260541915893555,0.8501619100570679,12.651300430297852,0.8655412197113037
full_real_imag,46,sd1042,hf_q2,3348.0,1.2409652471542358,0.8100314736366272,11.959150314331055,0.8191383332014084
full_real_imag,46,sd1042,hf_q3,4602.0,0.9468903541564941,0.6444060206413269,8.095019340515137,0.9002353325486183
full_real_imag,46,sd1042,hf_q4,7998.0,0.8785654306411743,0.6201810240745544,8.707483291625977,0.9276894256472588
