variant,seed,target,checkpoint,prediction_path,parameter_count,count,ws_rmse,ws_mae,wd_mae,r2,learned_bound_u,learned_bound_v
magnitude_only_strict_zero_phase,46,sd1091,not_released,not_released,512595.0,14304.0,0.7410457730293274,0.4985744953155517,7.458288192749023,0.852859303355217,4.0,4.0
no_fft,46,sd1091,not_released,not_released,512595.0,14304.0,0.7477254271507263,0.5027457475662231,7.465348243713379,0.8501947522163391,,
full_real_imag,42,target_mean,,,,18081.0,0.8987399637699127,0.6182139962911606,8.64958143234253,0.8743142262101173,,
full_real_imag,43,target_mean,,,,18081.0,0.8901644349098206,0.6059258133172989,8.55004596710205,0.8750451020896435,,
full_real_imag,44,target_mean,,,,18081.0,0.895167738199234,0.6135654896497726,8.661497831344604,0.8736226335167885,,
full_real_imag,45,target_mean,,,,18081.0,0.8869371116161346,0.6050064414739609,8.547573328018188,0.8765924088656902,,
full_real_imag,46,target_mean,,,,18081.0,0.8898590505123138,0.6037805378437042,8.676997184753418,0.8754439353942871,,
magnitude_only_strict_zero_phase,42,target_mean,,,,18081.0,0.9167019426822662,0.6338346600532532,8.882579803466797,0.866760428994894,,
magnitude_only_strict_zero_phase,43,target_mean,,,,18081.0,0.9271354973316193,0.6373477280139923,8.86449384689331,0.8624946251511574,,
magnitude_only_strict_zero_phase,44,target_mean,,,,18081.0,0.9230335950851442,0.6387752294540405,8.754848957061768,0.866589680314064,,
magnitude_only_strict_zero_phase,45,target_mean,,,,18081.0,0.8978213369846344,0.6129421293735504,8.914528369903564,0.8727334775030613,,
magnitude_only_strict_zero_phase,46,target_mean,,,,18081.0,0.8964500725269317,0.6108596622943878,8.856404304504395,0.8725386746227741,,
no_fft,42,target_mean,,,,18081.0,0.914535641670227,0.6131655871868134,8.792946815490723,0.8654058948159218,,
no_fft,43,target_mean,,,,18081.0,0.9133386015892029,0.6116452813148499,8.803496360778809,0.8656877875328064,,
no_fft,44,target_mean,,,,18081.0,0.9100407063961029,0.6125878691673279,8.827041864395142,0.8666495233774185,,
no_fft,45,target_mean,,,,18081.0,0.9169417917728424,0.6191537082195282,8.821628093719482,0.865135096013546,,
no_fft,46,target_mean,,,,18081.0,0.9119954407215118,0.6194578409194946,8.822699069976807,0.8686760067939758,,
