seed,variant_key,variant_name,target,test_ws_rmse,test_ws_mae,test_wd_mae,test_extreme_ws_rmse,test_r2
44,wo_boat_embedding,w/o Vessel Embedding,sd1091,0.7281597673641679,0.4939055624157523,7.399000253186664,1.9849621111987608,0.8579320549379619
44,wo_gated_fusion,w/o Gated Fusion,sd1042,1.0753300063521858,0.7429743101943912,10.296130251301994,1.074129410064913,0.8873533244238213
44,wo_gated_fusion,w/o Gated Fusion,sd1091,0.7209413508376197,0.4869037815921792,7.070023018241729,1.9519782264338477,0.8607347985415307
44,mlp_decoder,MLP Decoder,sd1042,1.0451934394265714,0.7118190601679422,10.043940467775135,1.1366124747098392,0.8935787881340076
44,mlp_decoder,MLP Decoder,sd1091,0.7283243099173029,0.4877765117342307,6.9231590211258105,2.092158571536628,0.8578678413831512
45,wo_fft,w/o FFT Branch,sd1042,1.0609525118791283,0.7258323392292992,10.379448630212265,1.0841214036812834,0.8903454288453867
45,wo_fft,w/o FFT Branch,sd1091,0.7729310093227201,0.5124750260005327,7.263807808792831,1.9268312289319949,0.8399247450569378
45,wo_persistence,w/o Persistence Prior,sd1042,1.2253330270930471,0.8638888250953576,11.09433959603517,1.7671290973071725,0.8537340861396204
45,wo_persistence,w/o Persistence Prior,sd1091,0.7296243878338149,0.5016597909415328,7.136989896462801,2.0025822638680943,0.8573599692738181
45,wo_boat_embedding,w/o Vessel Embedding,sd1042,1.0651276239255554,0.7321685766931618,10.05120046390293,1.151398104385124,0.8894806946864744
45,wo_boat_embedding,w/o Vessel Embedding,sd1091,0.72751232468254,0.4920470669232225,6.925482850213445,1.9560452835196376,0.8581845818231165
45,wo_gated_fusion,w/o Gated Fusion,sd1042,1.096878944405706,0.7619994597461612,10.171620481611336,1.180135272308933,0.8827933508939538
45,wo_gated_fusion,w/o Gated Fusion,sd1091,0.7518695296399074,0.5080650506136934,7.127600433042385,2.0886770761025315,0.8485296218447955
45,mlp_decoder,MLP Decoder,sd1042,1.040355341981313,0.7066582047892398,10.088494126931325,1.1414189961268717,0.8945617344830563
45,mlp_decoder,MLP Decoder,sd1091,0.7204955966632448,0.487514539052976,7.045338944300709,2.002655513123359,0.860906959157819
46,wo_fft,w/o FFT Branch,sd1042,1.0762655131431782,0.7361699536337771,10.180049727652186,1.0895604780398171,0.8871572403028005
46,wo_fft,w/o FFT Branch,sd1091,0.7477254067683408,0.5027458041039623,7.465349060843722,1.844260735902936,0.8501947563817904
46,wo_persistence,w/o Persistence Prior,sd1042,1.2935227405244385,0.9623504915812476,11.181390841038429,1.820114727010157,0.8370017332495284
46,wo_persistence,w/o Persistence Prior,sd1091,0.733001023951881,0.5058171325081947,8.43212495927576,1.9608904498139368,0.8560366637783919
46,wo_boat_embedding,w/o Vessel Embedding,sd1042,1.0464223199717149,0.7122442823325043,10.14125035066314,1.1059199200612246,0.8933283926890251
46,wo_boat_embedding,w/o Vessel Embedding,sd1091,0.7404202838358248,0.4971342657503132,7.104438128887407,1.994311060665364,0.8531075902771537
